EVENT	HeLa_CNTRL	HeLa_CNTRL_A	HeLa_CNTRL_B	HeLa_CNTRL_C	HeLa_SON	HeLa_SON_A	HeLa_SON_B	HeLa_SON_C	HeLa_SRRM2	HeLa_SRRM2_A	HeLa_SRRM2_B	HeLa_SRRM2_C	HepG2_CNTRL	HepG2_CNTRL_A	HepG2_CNTRL_B	HepG2_CNTRL_C	HepG2_MARS	HepG2_MARS_Aa	HepG2_MARS_Ab	HepG2_MARS_Ba	HepG2_MARS_Bb	HepG2_MARS_Ca	HepG2_MARS_Cb	HepG2_RARS	HepG2_RARS_A	HepG2_RARS_B	HepG2_RARS_C	HepG2_SRRM2	HepG2_SRRM2_Aa	HepG2_SRRM2_Ab	HepG2_SRRM2_Ba	HepG2_SRRM2_Bb	HepG2_SRRM2_Ca	HepG2_SRRM2_Cb
AC004381.6=HsaEX0000788	NA	NA	NA	NA	NA	NA	NA	NA	84.00	NA	NA	NA	67.31	NA	80.00	64.71	73.03	NA	76.92	NA	NA	NA	NA	67.74	65.71	82.61	60.00	81.40	93.55	71.43	100.00	NA	72.22	73.33
AC004381.6=HsaEX0000789	NA	NA	NA	NA	75.00	NA	NA	NA	NA	NA	NA	NA	63.50	57.14	61.40	73.68	67.68	69.70	NA	NA	56.25	58.97	65.22	48.72	34.48	60.98	54.39	60.14	59.18	58.62	47.37	57.45	60.98	75.00
CREBBP=HsaEX0017199	86.67	NA	NA	NA	100.00	NA	NA	100.00	73.33	NA	NA	NA	85.42	85.19	85.84	85.09	85.28	89.74	95.00	90.91	90.48	72.09	86.67	86.25	88.85	85.44	82.95	79.47	86.36	86.96	72.22	92.00	75.44	70.91
OSBPL7=HsaEX0044937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.83	95.65	100.00	90.24	90.80	NA	NA	NA	NA	81.82	100.00	83.51	77.27	85.71	92.00	90.16	93.94	100.00	NA	NA	NA	NA
OSBPL7=HsaEX0044934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.10	81.25	90.48	NA	93.33	NA	NA	NA	NA	82.61	NA	81.13	NA	NA	NA	84.85	NA	NA	NA	NA	NA	NA
MAP3K9=HsaEX0037612	23.40	NA	NA	NA	20.00	NA	13.04	NA	11.11	7.14	NA	NA	4.68	4.67	5.41	3.45	8.06	12.20	0.00	3.70	11.11	14.81	7.89	2.48	3.37	1.20	2.86	11.00	10.84	13.04	13.04	8.57	9.80	8.57
ALDH3B1=HsaEX0003634	66.67	65.71	NA	NA	80.00	NA	NA	NA	54.39	NA	NA	NA	90.00	83.33	NA	100.00	81.31	NA	73.91	NA	NA	NA	90.48	94.03	93.75	NA	91.67	93.33	90.48	NA	92.31	100.00	94.74	100.00
ARHGAP44=HsaEX0005532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.67	NA	NA	NA	84.31	NA	NA	NA	NA	NA	NA	85.19	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA
TRAPPC6A=HsaEX0066936	76.92	71.93	87.69	70.00	74.29	71.43	69.23	82.61	72.28	67.74	83.33	69.57	73.37	73.33	78.18	70.24	72.55	78.15	73.02	74.39	65.22	62.50	73.91	69.23	74.81	79.25	58.86	63.25	55.56	72.63	64.15	66.34	43.59	84.00
BAIAP3=HsaEX0007605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.82	NA	NA	72.73	100.00	NA	NA	100.00	NA	100.00	NA	100.00	NA	NA	NA	96.36	87.50	100.00	NA	NA	NA	NA
CRAMP1=HsaEX0017127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.96	55.56	53.16	52.58	62.12	NA	NA	NA	NA	63.64	NA	40.00	40.88	39.58	38.95	66.01	52.63	57.89	90.00	NA	NA	NA
CRAMP1=HsaEX0017128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.20	77.78	49.62	73.03	64.15	NA	NA	NA	NA	NA	54.29	61.01	54.64	57.98	77.05	94.16	100.00	92.59	NA	NA	100.00	93.55
MYLIP=HsaEX0040986	87.50	NA	NA	NA	NA	NA	NA	NA	77.78	NA	NA	NA	83.95	97.06	73.85	88.12	90.48	84.62	100.00	NA	100.00	91.30	84.31	90.37	87.69	90.00	95.24	92.56	85.71	95.24	90.91	85.19	100.00	95.74
CDKL5=HsaEX0014401	NA	NA	NA	NA	3.70	NA	NA	NA	NA	NA	NA	NA	2.22	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAMK1G=HsaEX0012203	83.33	NA	90.48	NA	NA	NA	NA	NA	69.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NADK=HsaEX0041556	34.79	35.08	36.78	31.88	12.82	14.29	12.90	10.81	23.04	21.21	18.11	28.00	94.26	95.37	95.42	92.00	97.50	98.26	98.29	96.59	97.81	96.89	97.36	90.64	90.84	91.65	89.36	97.30	97.80	98.61	96.62	98.25	96.70	95.92
CELSR3=HsaEX0014558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.18	97.47	88.51	82.76	90.40	NA	NA	90.91	85.71	93.33	85.71	86.01	85.19	91.11	81.82	91.75	NA	NA	NA	NA	82.61	100.00
CELSR3=HsaEX0014563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.08	73.95	80.21	95.48	98.00	88.44	NA	NA	NA	100.00	NA	84.72	76.00	89.54	89.45	92.23	NA	100.00	NA	NA	100.00	87.04
NFIX=HsaEX1025603	3.38	2.70	2.80	5.13	NA	9.28	6.85	4.35	2.24	0.00	3.37	2.70	NA	NA	NA	4.11	NA	NA	10.34	10.64	18.75	2.78	12.12	NA	NA	NA	2.82	NA	15.00	12.12	12.50	13.04	NA	14.75
PKD1=HsaEX0047817	61.80	NA	57.45	NA	21.05	NA	NA	NA	50.68	NA	NA	NA	97.92	100.00	95.18	100.00	97.27	100.00	94.44	100.00	100.00	94.29	96.61	98.89	98.88	100.00	97.24	97.42	100.00	93.65	92.00	94.59	100.00	100.00
PKD1=HsaEX1028230	98.44	96.30	100.00	100.00	56.72	51.11	48.72	68.00	98.48	100.00	100.00	96.83	99.22	98.92	99.02	99.79	99.23	100.00	99.47	99.57	99.55	98.82	98.57	99.30	99.64	98.99	99.26	99.56	99.37	100.00	99.45	99.45	99.66	99.35
STARD3NL=HsaEX0062270	74.10	82.22	68.00	72.73	79.84	74.55	90.24	75.76	68.49	75.00	63.27	67.35	84.36	81.71	84.88	86.32	82.15	82.64	84.80	76.88	79.59	83.17	83.57	83.61	79.61	83.22	87.84	92.63	91.58	91.87	95.21	91.26	95.76	91.90
CLCN6=HsaEX0015559	NA	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	93.43	97.88	95.53	86.50	97.93	100.00	100.00	88.59	100.00	100.00	100.00	90.17	96.57	78.17	97.22	95.49	100.00	89.19	NA	NA	100.00	91.44
MRC2=HsaEX0040063	74.29	68.18	80.49	74.55	48.28	33.33	NA	NA	73.68	68.00	77.14	79.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP68=HsaEX0014824	96.77	100.00	100.00	90.91	94.12	92.31	90.48	100.00	93.44	89.47	NA	100.00	93.00	93.75	94.94	89.47	98.36	NA	100.00	NA	NA	93.94	100.00	89.16	81.82	93.44	94.87	92.41	77.78	94.29	NA	NA	93.55	100.00
SEMA3B=HsaEX0057050	94.79	93.44	96.43	94.59	58.77	56.16	43.90	78.08	94.85	94.03	95.40	94.92	97.68	97.95	97.42	97.73	98.28	99.03	98.45	98.24	99.27	97.86	97.49	96.56	97.07	97.79	95.06	98.53	99.42	98.33	98.78	99.31	97.42	98.22
SEMA3B=HsaEX0057053	78.46	NA	90.48	73.91	69.23	NA	NA	NA	68.97	NA	NA	62.96	96.72	97.36	95.98	96.89	96.41	97.16	97.73	97.09	95.85	95.28	95.91	94.20	94.10	94.35	94.17	88.88	89.10	87.79	88.39	87.25	90.99	89.81
CLK1=HsaEX0015695	63.86	65.12	63.64	62.66	75.97	74.86	75.27	78.03	70.92	74.01	65.79	72.58	66.44	61.60	62.08	79.04	66.29	67.44	66.20	66.67	54.29	63.04	76.00	64.87	61.03	57.25	76.19	79.68	75.24	74.51	88.41	86.30	81.18	76.47
DDX11=HsaEX0000996	1.75	2.00	1.05	2.19	0.38	0.26	0.38	0.50	1.36	1.32	1.40	1.37	8.32	9.16	7.21	8.74	9.84	15.91	11.11	18.68	15.15	5.45	5.32	9.35	13.24	6.56	8.21	10.00	12.62	8.41	4.35	5.88	12.31	12.86
GLT8D1=HsaEX0027719	88.89	100.00	78.38	NA	82.61	NA	NA	NA	97.18	100.00	100.00	93.55	99.81	100.00	100.00	99.27	99.18	100.00	100.00	97.61	100.00	99.05	98.09	99.61	100.00	99.40	99.17	99.04	100.00	98.22	98.08	99.03	100.00	98.82
OSBPL5=HsaEX0044918	98.11	95.74	100.00	100.00	81.54	NA	84.00	81.82	94.37	96.55	94.74	91.30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSBPL5=HsaEX0044921	89.90	92.91	NA	NA	44.37	NA	NA	NA	78.17	72.75	100.00	70.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRAMD1B=HsaEX0028507	92.52	95.12	79.31	100.00	92.41	84.00	100.00	93.55	90.99	89.74	85.71	95.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALAS1=HsaEX0003568	11.21	11.24	10.52	12.02	4.28	5.03	2.72	4.74	11.11	11.36	12.78	9.62	21.65	18.69	25.04	20.00	15.10	12.58	13.75	18.25	8.99	20.85	14.73	24.96	22.98	25.00	27.66	14.02	13.30	12.08	17.39	19.38	13.09	11.52
AKAP11=HsaEX0003354	65.00	64.29	67.74	NA	61.74	60.87	62.16	62.50	73.81	62.50	90.91	73.33	79.84	81.40	80.49	77.78	80.00	NA	NA	NA	NA	NA	NA	82.50	92.00	83.33	74.19	70.83	NA	NA	NA	NA	NA	NA
AKAP11=HsaEX0003358	35.38	34.83	35.52	35.73	37.77	33.54	37.15	43.31	35.14	29.70	38.57	36.67	18.58	15.53	13.09	24.56	28.23	NA	41.18	NA	NA	20.59	24.14	14.99	13.37	16.67	15.15	25.09	32.14	13.89	NA	17.24	30.00	27.27
AKAP11=HsaEX0003359	98.44	97.44	98.15	99.49	99.35	100.00	98.77	99.25	98.09	99.30	97.30	97.80	94.28	93.22	96.39	93.52	94.32	NA	73.33	NA	NA	100.00	96.15	88.89	90.91	81.02	97.80	92.56	95.35	92.86	71.43	100.00	94.44	93.75
DERA=HsaEX0019290	63.85	69.00	60.00	61.33	74.94	71.97	72.09	82.30	65.64	64.44	63.03	69.12	98.09	98.10	97.32	99.06	98.01	99.07	97.25	100.00	98.80	99.05	95.26	98.64	98.68	99.35	97.97	98.79	98.71	99.24	96.36	97.45	99.40	100.00
ABCC2=HsaEX0000425	4.56	5.06	3.89	4.76	5.99	7.27	5.09	5.77	5.45	4.94	3.89	6.86	14.48	13.83	15.82	13.41	11.64	10.58	12.04	11.11	8.13	11.73	13.15	17.97	16.37	18.67	18.98	16.77	16.67	16.32	18.95	15.69	16.04	18.16
GCLM=HsaEX0027221	96.08	97.78	95.70	94.44	96.69	96.08	100.00	94.37	93.85	92.31	97.14	92.86	92.29	91.22	93.46	91.28	89.94	76.47	76.74	94.29	93.33	96.26	90.83	91.05	95.97	92.84	84.58	89.95	86.54	87.37	79.31	100.00	100.00	89.66
BCLAF1=HsaEX0007928	85.23	79.66	89.58	87.39	94.04	94.48	93.87	93.65	75.48	73.08	71.67	80.42	91.67	100.00	78.12	97.47	95.12	NA	NA	NA	NA	100.00	88.89	77.36	75.00	67.21	92.00	89.19	NA	81.82	NA	NA	NA	NA
ANK1=HsaEX0004113	100.00	NA	NA	NA	78.18	NA	NA	NA	90.91	88.89	NA	NA	100.00	NA	100.00	100.00	98.73	NA	NA	100.00	100.00	95.65	100.00	100.00	NA	NA	NA	97.56	NA	89.47	NA	NA	NA	100.00
PNPLA6=HsaEX0048741	19.40	21.21	NA	NA	5.45	NA	NA	8.33	20.63	8.33	20.00	NA	3.31	1.50	5.02	4.12	3.87	3.45	4.11	0.00	2.97	7.84	4.05	4.33	1.81	6.46	5.95	7.43	11.29	5.66	9.76	6.42	5.39	7.78
PNPLA6=HsaEX6092459	99.75	100.00	99.31	100.00	75.64	67.32	80.60	80.00	99.52	100.00	100.00	98.71	99.82	100.00	99.52	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
PNPLA6=HsaEX0048745	100.00	100.00	100.00	NA	70.37	NA	NA	NA	92.59	NA	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.17	97.94	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
IFT88=HsaEX0031099	59.02	63.20	51.67	63.41	76.47	74.07	80.00	76.09	57.14	65.22	52.17	53.04	33.04	36.13	29.84	34.67	51.82	52.94	57.58	NA	NA	40.00	54.39	30.06	21.55	31.25	38.46	53.59	44.19	60.87	NA	NA	NA	45.83
IFT88=HsaEX0031101	79.49	NA	77.14	NA	95.31	100.00	95.12	91.11	85.54	100.00	NA	75.61	84.75	80.58	90.62	81.82	83.81	84.95	77.59	86.67	84.38	80.95	90.36	89.26	81.40	98.04	87.27	88.82	80.77	83.87	96.23	95.00	95.00	85.96
SH3YL1=HsaEX0058097	92.00	100.00	76.00	100.00	100.00	NA	100.00	100.00	91.43	NA	81.82	NA	86.92	86.10	86.35	88.83	87.19	92.00	87.34	78.95	91.18	85.29	81.25	89.04	85.19	91.86	91.30	90.58	91.11	91.15	84.62	92.38	85.61	96.64
FAM136A=HsaEX1013836	94.06	93.55	93.37	95.00	NA	NA	NA	NA	81.86	NA	NA	80.72	62.85	58.14	56.12	71.41	82.02	NA	84.23	100.00	79.76	NA	83.13	69.75	66.09	60.78	79.18	85.68	84.22	80.95	83.95	86.76	91.78	100.00
RAI14=HsaEX0052011	93.44	89.81	94.94	95.36	94.13	100.00	95.74	86.55	86.70	85.42	80.31	93.81	47.32	44.64	51.98	44.34	42.77	NA	NA	NA	46.70	45.29	42.83	47.28	40.77	54.38	47.46	50.42	59.56	55.04	NA	NA	48.70	42.27
STAU2=HsaEX0062378	17.50	14.29	15.38	23.08	15.66	12.50	17.65	NA	5.00	NA	NA	NA	50.93	43.62	52.80	57.63	39.79	37.93	50.94	22.58	20.00	57.14	58.82	42.98	41.56	39.78	50.46	72.00	NA	NA	NA	NA	93.55	NA
PARP3=HsaEX0045605	42.35	NA	47.54	39.62	NA	33.33	26.83	33.33	NA	NA	NA	NA	16.18	NA	14.81	15.89	25.62	NA	33.33	25.93	12.82	22.45	24.44	18.50	22.22	16.46	17.24	27.68	18.03	29.03	NA	27.78	35.48	14.89
TNC=HsaEX6062706	100.00	NA	NA	NA	88.04	NA	NA	NA	92.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAPG=HsaEX0012336	91.10	90.59	89.71	92.77	64.66	64.81	65.33	64.00	85.19	83.18	83.51	88.33	99.21	100.00	98.03	100.00	97.97	100.00	97.98	100.00	96.30	95.65	97.78	99.66	100.00	98.94	100.00	98.92	100.00	100.00	95.24	100.00	100.00	97.70
PHKA2=HsaEX0047119	66.39	60.98	NA	NA	70.49	NA	NA	NA	72.48	70.73	NA	79.17	93.72	93.60	94.51	93.17	95.67	100.00	100.00	100.00	93.55	93.02	93.02	89.56	95.35	89.19	84.27	96.15	97.26	95.70	100.00	90.48	100.00	93.33
GEMIN8=HsaEX0027312	55.41	68.89	46.27	55.56	31.34	38.98	20.48	38.98	56.96	55.17	57.89	58.06	65.41	50.82	77.01	62.16	65.49	71.43	68.00	53.85	48.94	77.14	76.19	69.23	66.67	60.56	83.33	72.88	64.29	73.33	78.95	68.75	83.33	72.41
TPR=HsaEX0066728	11.55	NA	10.00	9.32	6.32	7.81	5.04	6.25	16.80	NA	14.67	16.13	0.74	0.38	0.95	0.93	0.17	1.33	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.57	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.78
CP=HsaEX0016926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.36	91.30	87.10	90.70	90.22	86.05	84.13	100.00	100.00	NA	NA	84.68	85.19	86.36	80.77	85.27	NA	NA	NA	81.40	93.65	78.79
WWC3=HsaEX1044119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.11	9.68	12.50	11.11	23.53	NA	NA	NA	NA	NA	NA	NA	11.76	26.67	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN17=HsaEX0067643	100.00	100.00	100.00	100.00	82.50	74.19	77.78	NA	100.00	100.00	NA	100.00	99.80	100.00	99.53	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.74	97.83	100.00	98.56	100.00	100.00	100.00	100.00	100.00	100.00	100.00
RSF1=HsaEX1035749	4.38	4.12	6.01	2.99	7.34	7.84	6.85	NA	8.33	7.58	10.00	7.64	NA	12.00	NA	10.87	NA	29.17	42.86	NA	NA	13.21	29.03	NA	NA	NA	NA	NA	NA	NA	NA	20.00	13.51	17.07
H6PD=HsaEX0029177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.50	20.78	17.46	16.32	11.87	16.48	4.77	19.64	12.19	8.23	12.19	14.14	8.34	11.82	26.86	8.14	10.36	12.98	11.54	11.54	4.14	4.77
PER3=HsaEX6028147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.33	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
POLQ=HsaEX0049014	84.23	NA	NA	NA	95.43	100.00	NA	NA	100.00	NA	NA	NA	82.00	80.68	87.56	80.18	91.94	NA	NA	NA	NA	89.19	91.07	78.35	85.85	71.63	79.00	95.22	NA	NA	NA	NA	NA	NA
RRP12=HsaEX0055760	99.08	98.20	99.26	100.00	45.13	40.76	47.04	49.30	98.65	98.47	97.83	99.43	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
LAMA3=HsaEX0035238	51.52	NA	NA	NA	NA	NA	NA	NA	84.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMA3=HsaEX0035240	6.90	0.00	12.00	NA	9.09	NA	NA	NA	15.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARID4B=HsaEX0005812	95.81	94.46	98.28	95.10	96.39	94.80	97.45	97.08	95.98	95.77	95.49	96.51	89.49	90.91	91.11	84.41	90.92	95.51	71.60	96.19	100.00	89.32	89.85	87.98	90.80	88.55	82.00	73.79	59.06	84.05	72.64	78.95	75.69	73.38
SYNE2=HsaEX0063183	64.80	66.67	63.64	NA	76.74	67.27	85.00	82.35	69.75	82.61	57.14	74.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KMT2C=HsaEX0039502	71.43	NA	NA	NA	91.67	NA	NA	NA	84.62	NA	NA	NA	85.24	92.50	83.56	79.37	81.58	NA	NA	NA	NA	71.43	75.82	95.62	96.30	96.00	93.94	90.57	89.47	100.00	NA	NA	100.00	NA
ITIH4=HsaEX0032510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.29	NA	NA	NA	NA	NA	NA
ITIH1=HsaEX0032501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.59	NA	NA	100.00	84.05	85.48	87.88	81.82	74.36	NA	NA	90.70	100.00	NA	NA	71.70	65.00	70.37	NA	NA	NA	NA
ATP2B4=HsaEX0006903	88.57	86.67	NA	100.00	90.28	95.83	90.24	85.45	81.65	94.87	86.67	65.00	96.83	91.84	100.00	100.00	86.21	NA	NA	NA	NA	NA	NA	93.75	93.75	94.29	93.10	97.47	100.00	NA	NA	NA	NA	90.00
TARBP1=HsaEX0063638	97.32	96.15	96.67	100.00	98.34	97.80	100.00	97.30	99.37	100.00	100.00	98.40	89.64	92.47	92.18	83.33	86.21	80.00	86.05	NA	62.96	93.75	100.00	90.05	85.28	98.11	89.38	91.26	95.35	75.00	NA	NA	90.48	100.00
EPN1=HsaEX0022820	89.72	89.19	89.60	90.53	46.69	45.45	46.41	48.51	85.77	85.11	88.46	84.22	93.98	93.46	93.06	95.97	92.70	91.90	93.15	91.67	94.06	93.06	92.30	92.43	91.57	92.94	93.51	90.44	88.33	88.68	92.61	91.24	89.59	92.83
HAGH=HsaEX0029225	94.49	94.42	96.12	92.73	59.67	59.15	56.04	62.79	87.43	90.76	85.36	86.18	94.60	93.73	94.22	95.76	96.53	96.02	97.35	96.67	96.47	96.89	95.65	93.71	91.76	94.71	95.05	95.04	93.56	92.77	95.07	96.24	97.45	97.19
CDON=HsaEX0014434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85.38	89.16	86.05	79.68	90.30	NA	NA	NA	NA	88.76	93.11	78.40	84.65	78.43	68.82	88.97	100.00	100.00	NA	NA	NA	93.11
ABCA7=HsaEX0000306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90.48	92.73	96.55	84.21	98.56	100.00	100.00	100.00	NA	100.00	92.31	94.20	95.12	90.00	100.00	86.21	72.00	93.55	100.00	NA	93.55	78.57
